title,price,link
Lenovo LOQ 15 AMD Ryzen 5 7235HS RTX 3050 6GB – 12GB DDR5 RAM – 512GB NVMe SSD – 15.6″ FHD 144Hz Display – Windows 11,"Rs. 95,999",https://www.daraz.com.np//www.daraz.com.np/products/lenovo-loq-15-amd-ryzen-5-7235hs-rtx-3050-6gb-12gb-ddr5-ram-512gb-nvme-ssd-156-fhd-144hz-display-windows-11-i165756311.html
Lenovo IdeaPad Slim 3 Intel Core i5 13th Gen 13420H – 16GB DDR5 RAM – 512GB NVMe SSD – Intel Integrated Graphics – 15.6″ FHD Display – Arctic Grey,"Rs. 72,199",https://www.daraz.com.np//www.daraz.com.np/products/lenovo-ideapad-slim-3-intel-core-i5-13th-gen-13420h-16gb-ddr5-ram-512gb-nvme-ssd-intel-integrated-graphics-156-fhd-display-arctic-grey-i128471375.html
"Laptop Dell Latitude 5300 , Laptop 13.3"" Intel Core i5-8365U 1.6GHz up to 4.1GHz, 8GB DDR4 RAM, 256GB SSD Laptop","Rs. 40,549",https://www.daraz.com.np//www.daraz.com.np/products/laptop-dell-latitude-5300-laptop-133-intel-core-i5-8365u-16ghz-up-to-41ghz-8gb-ddr4-ram-256gb-ssd-laptop-i183906479.html
"Dell Vostro 3530 i5 13th Gen | 16GB RAM | 512GB SSD | 15.6"" 120Hz FHD | Black","Rs. 73,999",https://www.daraz.com.np//www.daraz.com.np/products/dell-vostro-3530-i5-13th-gen-16gb-ram-512gb-ssd-156-120hz-fhd-black-i129411877.html
HP NOTEBOOK 14-ep1063cl | INTEL CORE 3-100U (14TH GEN) | 12GB DDR4 RAM | 512GB SSD | INTEL UHD GRAPHICS | 14 INCH FHD SCREEN | BACKLIT KEYBOARD,"Rs. 57,999",https://www.daraz.com.np//www.daraz.com.np/products/hp-notebook-14-ep1063cl-intel-core-3-100u-14th-gen-12gb-ddr4-ram-512gb-ssd-intel-uhd-graphics-14-inch-fhd-screen-backlit-keyboard-i116751028.html
"MSI Cyborg 14 Gaming Laptop, 14"" 144Hz FHD IPS Display, 10-Core Intel Core i7-13620H, NVIDIA GeForce RTX 4060, 32GB DDR5 RAM, 1TB PCIe SSD, Backlit Keyboard, HDMI, USB-C, Win 11 P, w/BWE Accessories","Rs. 80,000",https://www.daraz.com.np//www.daraz.com.np/products/msi-cyborg-14-gaming-laptop-14-144hz-fhd-ips-display-10-core-intel-core-i7-13620h-nvidia-geforce-rtx-4060-32gb-ddr5-ram-1tb-pcie-ssd-backlit-keyboard-hdmi-usb-c-win-11-p-wbwe-accessories-i414318937.html
Lenovo Ideapad Slim 3 Intel i7 13th Gen 13620H – 16GB DDR5 RAM – 512GB NVMe SSD – Intel UHD Integrated Graphics – 15.6″ FHD Display – Arctic Grey,"Rs. 86,599",https://www.daraz.com.np//www.daraz.com.np/products/lenovo-ideapad-slim-3-intel-i7-13th-gen-13620h-16gb-ddr5-ram-512gb-nvme-ssd-intel-uhd-integrated-graphics-156-fhd-display-arctic-grey-i164153640.html
"MacBook Air (13-Inch, M2 Chip)-EvoStore","Rs. 129,000",https://www.daraz.com.np//www.daraz.com.np/products/macbook-air-13-inch-m2-chip-evostore-i396189376.html
"Lenovo Ideapad Slim 3 Ryzen 5 7520U | 8GB DDR5 | 256GB SSD | 14"" FHD | Arctic Grey","Rs. 57,999",https://www.daraz.com.np//www.daraz.com.np/products/lenovo-ideapad-slim-3-ryzen-5-7520u-8gb-ddr5-256gb-ssd-14-fhd-arctic-grey-i129865273.html
"Dell Latitude 14 5420 2021 (11th Gen i5-1135G7, 8GB, 256GB, 14″ FHD)","Rs. 54,899",https://www.daraz.com.np//www.daraz.com.np/products/dell-latitude-14-5420-2021-11th-gen-i5-1135g7-8gb-256gb-14-fhd-i168190613.html
"Lenovo LOQ 15IRX9 (Intel Core i5 13450HX Processor | 12GB RAM |512GB SSD | NVIDIA GeForce RTX 3050 6GB Graphics Card | 15.6"" FHD (1920 x 1080) 100% sRGB 144Hz IPS Display","Rs. 111,999",https://www.daraz.com.np//www.daraz.com.np/products/lenovo-loq-15irx9-intel-core-i5-13450hx-processor-12gb-ram-512gb-ssd-nvidia-geforce-rtx-3050-6gb-graphics-card-156-fhd-1920-x-1080-100-srgb-144hz-ips-display-i363826158.html
TK-E142 | 8GB RAM | 256GB ROM | Intel N4020 | Windows 11 | 14.0-inch Display | Long-lasting Battery | Smooth Multitasking | Seamless Connectivity | Ideal for Work & Entertainment,"Rs. 40,000",https://www.daraz.com.np//www.daraz.com.np/products/tk-e142-8gb-ram-256gb-rom-intel-n4020-windows-11-140-inch-display-long-lasting-battery-smooth-multitasking-seamless-connectivity-ideal-for-work-entertainment-i161624836.html
"Dell Vostro 3530 i5 13th Gen | 8GB RAM | 512GB SSD | 15.6"" 120Hz FHD | Black","Rs. 72,499",https://www.daraz.com.np//www.daraz.com.np/products/dell-vostro-3530-i5-13th-gen-8gb-ram-512gb-ssd-156-120hz-fhd-black-i128524305.html
"Acer Swift Go 14 Ryzen 5 - 7530U / 16 GB DDR4  RAM/ 512 GB SSD/14"" FHD IPS/AMD Radeon GFX/ Backlit Keyboard/ Win 11","Rs. 89,091",https://www.daraz.com.np//www.daraz.com.np/products/acer-swift-go-14-ryzen-5-7530u-16-gb-ddr4-ram-512-gb-ssd14-fhd-ipsamd-radeon-gfx-backlit-keyboard-win-11-i132164384.html
"ASUS Zephyrus G15 GA503QE / Ryzen 9 5900HS / RTX 3050ti 4GB / 16GB RAM / 1TB SSD / 15.6"" FHD 144hz","Rs. 227,777",https://www.daraz.com.np//www.daraz.com.np/products/asus-zephyrus-g15-ga503qe-amd-r9-5900hs-rtx3050ti-4gb-16gb-ram-1tb-ssd-156-wqhd-165hz-backlit-90wh-win10-home-19-kgs-eclipse-gray-2-year-intl-warranty-1-year-perfect-warranty-i111810761.html
"Dell tiny | i5, 6th generation | 8 GB RAM , 256 SSD With Mouse, Keyboard, WIFI Dongle and Mouse Pad","Rs. 19,500",https://www.daraz.com.np//www.daraz.com.np/products/dell-tiny-i5-6th-generation-8-gb-ram-256-ssd-with-mouse-keyboard-wifi-dongle-and-mouse-pad-i129272829.html
Apple | MacBook Air (13-inch) M4 - 16GB/256GB - EvoStore,"Rs. 169,000",https://www.daraz.com.np//www.daraz.com.np/products/apple-macbook-air-13-inch-m4-16gb256gb-evostore-i374215735.html
Dell Vostro 3530 Intel Core i5 13th Gen 1334U – 16GB DDR4 RAM – 512GB NVMe SSD – Intel Iris Xe Integrated Graphics – 15.6” FHD Display – Black,"Rs. 71,999",https://www.daraz.com.np//www.daraz.com.np/products/dell-vostro-3530-intel-core-i5-13th-gen-1334u-16gb-ddr4-ram-512gb-nvme-ssd-intel-iris-xe-integrated-graphics-156-fhd-display-black-i154429078.html
"ASUS TUF Gaming F15 (2022) Gaming Laptop, 15.6” FHD 144Hz Display, GeForce RTX 3050, Intel Core i5-12500H, 16GB DDR4, 512GB PCIe SSD, Wi-Fi 6, Windows 11, FX507ZC-ES53,Mecha Gray","Rs. 100,000",https://www.daraz.com.np//www.daraz.com.np/products/asus-tuf-gaming-f15-2022-gaming-laptop-156-fhd-144hz-display-geforce-rtx-3050-intel-core-i5-12500h-16gb-ddr4-512gb-pcie-ssd-wi-fi-6-windows-11-fx507zc-es53mecha-gray-i414338374.html
Acer NITRO V 16 AMD Ryzen 7 8845HS RTX 3050 6GB Graphics – 16GB DDR5 RAM – 512GB NVMe SSD – 16″ WUXGA 165Hz Display – Windows 11 Home,"Rs. 123,999",https://www.daraz.com.np//www.daraz.com.np/products/acer-nitro-v-16-amd-ryzen-7-8845hs-rtx-3050-6gb-graphics-16gb-ddr5-ram-512gb-nvme-ssd-16-wuxga-165hz-display-windows-11-home-i156116586.html
